,Date,Site,Plot,Tag,ID,Size_x,T1_Date,T1_Survival,Taxa_broad,Site_Plot
1,15/4/2024,A1_6m,1,A0174,C,2,17/3/2025,1,Acropora spp.,A1_6m_1
2,15/4/2024,A1_6m,1,A0175,A,5,17/3/2025,1,Acropora spp.,A1_6m_1
3,15/4/2024,A1_6m,1,A0176,A,7,17/3/2025,0,Acropora spp.,A1_6m_1
4,15/4/2024,A1_6m,1,A0183,A,8,17/3/2025,1,Acropora spp.,A1_6m_1
5,15/4/2024,A1_6m,1,A0183,F,9,17/3/2025,1,Acropora spp.,A1_6m_1
6,15/4/2024,A1_6m,1,A0213,B,4,17/3/2025,1,Acropora spp.,A1_6m_1
7,15/4/2024,A1_6m,1,A0217,B,5,17/3/2025,1,Acropora spp.,A1_6m_1
8,15/4/2024,A1_6m,1,A0218,E,3,17/3/2025,1,Acropora spp.,A1_6m_1
9,15/4/2024,A1_6m,1,A0226,A,6,17/3/2025,1,Acropora spp.,A1_6m_1
10,15/4/2024,A1_6m,1,A0226,G,8,17/3/2025,0,Acropora spp.,A1_6m_1
11,15/4/2024,A1_6m,1,A0237,A,4,17/3/2025,1,Acropora spp.,A1_6m_1
12,15/4/2024,A1_6m,1,A0240,C,6,17/3/2025,1,Acropora spp.,A1_6m_1
13,15/4/2024,A1_6m,1,A0240,D,5,17/3/2025,0,Acropora spp.,A1_6m_1
14,15/4/2024,A1_6m,1,A0240,E,4,17/3/2025,1,Acropora spp.,A1_6m_1
15,15/4/2024,A1_6m,1,A0241,A,6,17/3/2025,1,Acropora spp.,A1_6m_1
16,15/4/2024,A1_6m,1,A0241,B,1,17/3/2025,0,Acropora spp.,A1_6m_1
17,15/4/2024,A1_6m,1,A0241,C,1,17/3/2025,0,Acropora spp.,A1_6m_1
18,15/4/2024,A1_6m,1,A0241,E,3,17/3/2025,0,Acropora spp.,A1_6m_1
19,15/4/2024,A1_6m,1,A0242,A,6,17/3/2025,1,Acropora spp.,A1_6m_1
20,15/4/2024,A1_6m,1,A0242,C,2,17/3/2025,0,Acropora spp.,A1_6m_1
21,15/4/2024,A1_6m,1,A0242,F,3,17/3/2025,0,Acropora spp.,A1_6m_1
22,15/4/2024,A1_6m,1,A0243,A,1,17/3/2025,1,Acropora spp.,A1_6m_1
