,Date,Site,Plot,Tag,ID,Size_x,T1_Date,T1_Survival,Taxa_broad,Site_Plot
1,19/10/2023,M11,2,A0086,C,2,22/10/2024,1,Acropora spp.,M11_2
2,19/10/2023,M11,2,A0087,A,5,22/10/2024,1,Acropora spp.,M11_2
3,19/10/2023,M11,2,A0087,B,2,22/10/2024,1,Acropora spp.,M11_2
4,19/10/2023,M11,2,A0087,C,2,22/10/2024,1,Acropora spp.,M11_2
5,19/10/2023,M11,2,A0087,D,1,22/10/2024,0,Acropora spp.,M11_2
6,19/10/2023,M11,2,A0087,F,1,22/10/2024,1,Acropora spp.,M11_2
7,19/10/2023,M11,2,A0087,G,4,22/10/2024,1,Acropora spp.,M11_2
8,19/10/2023,M11,2,A0088,B,1,22/10/2024,1,Acropora spp.,M11_2
9,19/10/2023,M11,2,A0088,C,1,22/10/2024,1,Acropora spp.,M11_2
10,19/10/2023,M11,2,A0088,D,6,22/10/2024,1,Acropora spp.,M11_2
11,19/10/2023,M11,2,A0088,E,8,22/10/2024,0,Acropora spp.,M11_2
12,19/10/2023,M11,2,A0092,A,4,22/10/2024,1,Acropora spp.,M11_2
13,19/10/2023,M11,2,A0093,A,4,22/10/2024,1,Acropora spp.,M11_2
14,19/10/2023,M11,2,A0093,C,3,22/10/2024,1,Acropora spp.,M11_2
15,19/10/2023,M11,2,A0093,D,3,22/10/2024,1,Acropora spp.,M11_2
16,19/10/2023,M11,2,A0093,G,4,22/10/2024,1,Acropora spp.,M11_2
17,19/10/2023,M11,2,A0094,B,3,22/10/2024,1,Acropora spp.,M11_2
18,19/10/2023,M11,2,A0094,D,6,22/10/2024,1,Acropora spp.,M11_2
19,19/10/2023,M11,2,A0095,E,1,22/10/2024,0,Acropora spp.,M11_2
20,19/10/2023,M11,2,A0096,A,1,22/10/2024,0,Acropora spp.,M11_2
21,21/10/2023,M11,4,A0070,A,1,21/10/2024,1,Acropora spp.,M11_4
22,21/10/2023,M11,4,A0070,B,2,21/10/2024,1,Acropora spp.,M11_4
23,21/10/2023,M11,4,A0070,F,1,22/10/2024,0,Acropora spp.,M11_4
24,21/10/2023,M11,4,A0071,E,8,22/10/2024,0,Acropora spp.,M11_4
25,21/10/2023,M11,4,A0072,A,3,22/10/2024,0,Acropora spp.,M11_4
26,21/10/2023,M11,4,A0072,D,4,22/10/2024,1,Acropora spp.,M11_4
27,21/10/2023,M11,4,A0073,A,7,22/10/2024,1,Acropora spp.,M11_4
28,21/10/2023,M11,4,A0073,B,6,22/10/2024,0,Acropora spp.,M11_4
29,21/10/2023,M11,4,A0075,B,7,22/10/2024,0,Acropora spp.,M11_4
30,21/10/2023,M11,4,A0079,B,4,22/10/2024,0,Acropora spp.,M11_4
31,21/10/2023,M11,4,A0090,B,2,22/10/2024,0,Acropora spp.,M11_4
32,21/10/2023,M11,4,A0097,A,0.5,22/10/2024,0,Acropora spp.,M11_4
33,21/10/2023,M11,4,A0097,B,4,22/10/2024,1,Acropora spp.,M11_4
34,21/10/2023,M11,4,A0097,C,3,22/10/2024,1,Acropora spp.,M11_4
35,21/10/2023,M11,4,A0097,D,2,22/10/2024,0,Acropora spp.,M11_4
36,21/10/2023,M11,4,A0097,G,3,22/10/2024,1,Acropora spp.,M11_4
37,21/10/2023,M11,4,A0097,I,4,22/10/2024,1,Acropora spp.,M11_4
38,21/10/2023,M11,4,A0098,C,1,22/10/2024,0,Acropora spp.,M11_4
39,21/10/2023,M11,4,A0098,D,5,22/10/2024,1,Acropora spp.,M11_4
40,21/10/2023,M11,4,A0098,E,3,22/10/2024,1,Acropora spp.,M11_4
41,21/10/2023,M11,4,A0099,B,2,22/10/2024,1,Acropora spp.,M11_4
42,21/10/2023,M11,4,A0099,C,2,22/10/2024,0,Acropora spp.,M11_4
43,21/10/2023,M11,4,A0101,B,4,22/10/2024,1,Acropora spp.,M11_4
44,21/10/2023,M11,4,A0101,D,3,22/10/2024,0,Acropora spp.,M11_4
45,21/10/2023,M11,4,A0102,A,4,22/10/2024,1,Acropora spp.,M11_4
46,21/10/2023,M11,4,A0103,A,4,22/10/2024,0,Acropora spp.,M11_4
47,21/10/2023,M11,4,A0103,B,3,22/10/2024,0,Acropora spp.,M11_4
48,21/10/2023,M11,4,A0104,A,3,21/10/2024,0,Acropora spp.,M11_4
49,21/10/2023,M11,4,A0104,B,2,21/10/2024,0,Acropora spp.,M11_4
50,21/10/2023,M11,4,A0104,D,0.5,21/10/2024,0,Acropora spp.,M11_4
51,21/10/2023,M11,4,A0105,A,3,21/10/2024,1,Acropora spp.,M11_4
52,21/10/2023,M11,4,A0105,B,2,21/10/2024,1,Acropora spp.,M11_4
53,21/10/2023,M11,4,A0105,C,2,21/10/2024,1,Acropora spp.,M11_4
54,21/10/2023,M11,4,A0106,D,4,21/10/2024,0,Acropora spp.,M11_4
55,21/10/2023,M11,4,A0109,A,2,29/10/2024,1,Acropora spp.,M11_4
56,21/10/2023,M11,4,A0109,B,3,29/10/2024,1,Acropora spp.,M11_4
57,21/10/2023,M11,4,A0109,E,5,29/10/2024,1,Acropora spp.,M11_4
58,16/10/2023,M13,1,A0018,A,2,19/10/2024,0,Acropora spp.,M13_1
59,16/10/2023,M13,1,A0018,B,1,19/10/2024,0,Acropora spp.,M13_1
60,16/10/2023,M13,1,A0018,C,3,19/10/2024,1,Acropora spp.,M13_1
61,16/10/2023,M13,1,A0018,E,6,19/10/2024,0,Acropora spp.,M13_1
62,16/10/2023,M13,1,A0018,F,2,19/10/2024,1,Acropora spp.,M13_1
63,16/10/2023,M13,1,A0018,H,0.5,19/10/2024,0,Acropora spp.,M13_1
64,16/10/2023,M13,1,A0019,A,3,19/10/2024,1,Acropora spp.,M13_1
65,16/10/2023,M13,1,A0019,G,0.5,19/10/2024,0,Acropora spp.,M13_1
66,16/10/2023,M13,1,A0019,J,2,19/10/2024,0,Acropora spp.,M13_1
67,16/10/2023,M13,1,A0019,L,4,19/10/2024,1,Acropora spp.,M13_1
68,16/10/2023,M13,1,A0019,N,0.5,19/10/2024,1,Acropora spp.,M13_1
69,17/10/2023,M13,1,A0022,A,3,19/10/2024,1,Acropora spp.,M13_1
