,T1_Date,Site,Plot,Tag,ID,T1_Survival,T1_Size_x,T2_Date,T2_Survival,Taxa_broad,Site_Plot
1,22/10/2024,M11,2,A0086,C,1,1.4,22/4/2025,0,Acropora spp.,M11_2
2,22/10/2024,M11,2,A0087,A,1,9,22/4/2025,0,Acropora spp.,M11_2
3,22/10/2024,M11,2,A0087,C,1,3,22/4/2025,0,Acropora spp.,M11_2
4,22/10/2024,M11,2,A0087,F,1,4.4,22/4/2025,0,Acropora spp.,M11_2
5,22/10/2024,M11,2,A0087,G,1,5.2,22/4/2025,0,Acropora spp.,M11_2
6,22/10/2024,M11,2,A0088,B,1,6.4,22/4/2025,0,Acropora spp.,M11_2
7,22/10/2024,M11,2,A0088,C,1,3,22/4/2025,1,Acropora spp.,M11_2
8,22/10/2024,M11,2,A0088,D,1,9.4,22/4/2025,0,Acropora spp.,M11_2
9,22/10/2024,M11,2,A0092,A,1,7,22/4/2025,0,Acropora spp.,M11_2
10,22/10/2024,M11,2,A0093,A,1,9,22/4/2025,0,Acropora spp.,M11_2
11,22/10/2024,M11,2,A0093,C,1,2.4,22/4/2025,1,Acropora spp.,M11_2
12,22/10/2024,M11,2,A0093,D,1,2,22/4/2025,0,Acropora spp.,M11_2
13,22/10/2024,M11,2,A0093,G,1,5.2,22/4/2025,1,Acropora spp.,M11_2
14,22/10/2024,M11,2,A0094,B,1,4.8,22/4/2025,0,Acropora spp.,M11_2
15,21/10/2024,M11,4,A0070,A,1,3,23/4/2025,0,Acropora spp.,M11_4
16,21/10/2024,M11,4,A0070,B,1,8,23/4/2025,1,Acropora spp.,M11_4
17,22/10/2024,M11,4,A0072,D,1,2,23/4/2025,0,Acropora spp.,M11_4
18,22/10/2024,M11,4,A0098,E,1,8,23/4/2025,0,Acropora spp.,M11_4
19,22/10/2024,M11,4,A0099,B,1,5.4,23/4/2025,0,Acropora spp.,M11_4
20,21/10/2024,M11,4,A0105,A,1,3.6,23/4/2025,0,Acropora spp.,M11_4
21,21/10/2024,M11,4,A0105,B,1,2.2,23/4/2025,0,Acropora spp.,M11_4
22,21/10/2024,M11,4,A0105,C,1,2.4,23/4/2025,0,Acropora spp.,M11_4
23,19/10/2024,M13,1,A0018,C,1,3,21/4/2025,0,Acropora spp.,M13_1
24,19/10/2024,M13,1,A0018,F,1,6,21/4/2025,0,Acropora spp.,M13_1
25,19/10/2024,M13,1,A0019,A,1,5,21/4/2025,0,Acropora spp.,M13_1
26,19/10/2024,M13,1,A0019,L,1,4,21/4/2025,0,Acropora spp.,M13_1
27,19/10/2024,M13,1,A0019,N,1,2,21/4/2025,0,Acropora spp.,M13_1
28,19/10/2024,M13,1,A0022,A,1,3,21/4/2025,0,Acropora spp.,M13_1
29,19/10/2024,M13,1,A0023,A,1,4,21/4/2025,0,Acropora spp.,M13_1
30,19/10/2024,M13,1,A0023,B,1,1.5,21/4/2025,0,Acropora spp.,M13_1
31,19/10/2024,M13,1,A0023,C,1,2,21/4/2025,0,Acropora spp.,M13_1
32,19/10/2024,M13,1,A0023,D,1,3,21/4/2025,0,Acropora spp.,M13_1
33,19/10/2024,M13,1,A0024,B,1,4,21/4/2025,0,Acropora spp.,M13_1
34,19/10/2024,M13,1,A0024,D,1,4,21/4/2025,0,Acropora spp.,M13_1
35,19/10/2024,M13,1,A0031,C,1,8,21/4/2025,1,Acropora spp.,M13_1
36,19/10/2024,M13,1,A0031,G,1,4,21/4/2025,1,Acropora spp.,M13_1
37,19/10/2024,M13,1,A0031,H,1,6,21/4/2025,0,Acropora spp.,M13_1
38,19/10/2024,M13,1,A0031,I,1,9,21/4/2025,0,Acropora spp.,M13_1
39,19/10/2024,M13,1,A0031,J,1,5,21/4/2025,0,Acropora spp.,M13_1
40,19/10/2024,M13,1,A0031,K,1,8,21/4/2025,0,Acropora spp.,M13_1
41,19/10/2024,M13,1,A0033,D,1,4,21/4/2025,0,Acropora spp.,M13_1
42,19/10/2024,M13,1,A0034,B,1,6,21/4/2025,0,Acropora spp.,M13_1
43,19/10/2024,M13,1,A0034,D,1,3,21/4/2025,1,Acropora spp.,M13_1
44,19/10/2024,M13,1,A0034,E,1,3,21/4/2025,0,Acropora spp.,M13_1
45,19/10/2024,M13,1,A0051,A,1,2.2,21/4/2025,1,Acropora spp.,M13_1
46,20/10/2024,M13,3,A0025,E,1,5,21/4/2025,0,Acropora spp.,M13_3
47,20/10/2024,M13,3,A0026,B,1,5.5,21/4/2025,0,Acropora spp.,M13_3
48,20/10/2024,M13,3,A0026,F,1,3,21/4/2025,0,Acropora spp.,M13_3
49,20/10/2024,M13,3,A0027,L,1,6,21/4/2025,0,Acropora spp.,M13_3
50,20/10/2024,M13,3,A0027,N,1,3,21/4/2025,0,Acropora spp.,M13_3
51,20/10/2024,M13,3,A0028,A,1,4,21/4/2025,1,Acropora spp.,M13_3
52,20/10/2024,M13,3,A0028,M,1,3,21/4/2025,0,Acropora spp.,M13_3
53,20/10/2024,RL1_N,1,A0030,A,1,2,22/4/2025,0,Acropora spp.,RL1_N_1
54,20/10/2024,RL1_N,1,A0030,B,1,2.6,22/4/2025,0,Acropora spp.,RL1_N_1
55,20/10/2024,RL1_N,1,A0030,C,1,8.2,22/4/2025,0,Acropora spp.,RL1_N_1
56,20/10/2024,RL1_N,1,A0040,B,1,2,22/4/2025,0,Acropora spp.,RL1_N_1
57,20/10/2024,RL1_N,1,A0040,D,1,3.4,22/4/2025,0,Acropora spp.,RL1_N_1
58,20/10/2024,RL1_N,1,A0040,E,1,6.6,22/4/2025,0,Acropora spp.,RL1_N_1
59,20/10/2024,RL1_N,1,A0061,G,1,5.4,22/4/2025,0,Acropora spp.,RL1_N_1
60,21/10/2024,RL1_N,4,A0041,B,1,2.2,22/4/2025,0,Acropora spp.,RL1_N_4
61,21/10/2024,RL1_N,4,A0041,D,1,2.6,22/4/2025,0,Acropora spp.,RL1_N_4
62,21/10/2024,RL1_N,4,A0054,A,1,5,22/4/2025,1,Acropora spp.,RL1_N_4
63,21/10/2024,RL1_N,4,A0054,B,1,2,22/4/2025,0,Acropora spp.,RL1_N_4
64,21/10/2024,RL1_N,4,A0054,C,1,3,22/4/2025,0,Acropora spp.,RL1_N_4
65,21/10/2024,RL1_N,4,A0054,D,1,5.6,22/4/2025,1,Acropora spp.,RL1_N_4
66,21/10/2024,RL1_N,4,A0054,E,1,2.2,22/4/2025,0,Acropora spp.,RL1_N_4
67,21/10/2024,RL1_N,4,A0054,F,1,3.6,22/4/2025,0,Acropora spp.,RL1_N_4
68,21/10/2024,RL1_N,4,A0055,C,1,2.2,22/4/2025,0,Acropora spp.,RL1_N_4
69,21/10/2024,RL1_N,4,A0066,G,1,6.4,22/4/2025,0,Acropora spp.,RL1_N_4
70,21/10/2024,RL1_N,4,A0069,C,1,1.6,22/4/2025,0,Acropora spp.,RL1_N_4
71,21/10/2024,RL1_N,4,A0069,G,1,3.4,22/4/2025,0,Acropora spp.,RL1_N_4
72,21/10/2024,RL1_N,4,A0069,I,1,2,22/4/2025,0,Acropora spp.,RL1_N_4
73,21/10/2024,RL1_N,4,A0076,A,1,6.4,22/4/2025,0,Acropora spp.,RL1_N_4
74,21/10/2024,RL1_N,4,A0082,C,1,3,22/4/2025,0,Acropora spp.,RL1_N_4
75,21/10/2024,RL1_N,4,A0082,D,1,2,22/4/2025,0,Acropora spp.,RL1_N_4
76,21/10/2024,RL1_N,4,A0082,E,1,1.8,22/4/2025,0,Acropora spp.,RL1_N_4
77,23/10/2024,RL1_S,1,A0111,C,1,9,24/4/2025,0,Acropora spp.,RL1_S_1
78,23/10/2024,RL1_S,1,A0117,C,1,8,24/4/2025,0,Acropora spp.,RL1_S_1
79,23/10/2024,RL1_S,1,A0117,E,1,4,24/4/2025,0,Acropora spp.,RL1_S_1
80,23/10/2024,RL1_S,1,A0129,A,1,7,24/4/2025,0,Acropora spp.,RL1_S_1
81,23/10/2024,RL1_S,1,A0129,E,1,5,24/4/2025,0,Acropora spp.,RL1_S_1
82,23/10/2024,RL1_S,1,A0129,J,1,8,24/4/2025,0,Acropora spp.,RL1_S_1
83,23/10/2024,RL1_S,1,A0140,A,1,6,24/4/2025,0,Acropora spp.,RL1_S_1
84,23/10/2024,RL1_S,1,A0140,D,1,5,24/4/2025,0,Acropora spp.,RL1_S_1
85,23/10/2024,RL1_S,1,A0156,A,1,9,24/4/2025,0,Acropora spp.,RL1_S_1
86,23/10/2024,RL1_S,1,A0156,E,1,5,24/4/2025,0,Acropora spp.,RL1_S_1
87,23/10/2024,RL1_S,1,A0156,F,1,4,24/4/2025,0,Acropora spp.,RL1_S_1
88,23/10/2024,RL1_S,1,A0156,H,1,3.5,24/4/2025,0,Acropora spp.,RL1_S_1
89,23/10/2024,RL1_S,1,A0158,C,1,9.8,24/4/2025,0,Acropora spp.,RL1_S_1
90,23/10/2024,RL1_S,1,A0159,A,1,5.4,24/4/2025,0,Acropora spp.,RL1_S_1
91,23/10/2024,RL1_S,1,A0160,A,1,7,24/4/2025,0,Acropora spp.,RL1_S_1
92,23/10/2024,RL1_S,1,A0160,D,1,7,24/4/2025,0,Acropora spp.,RL1_S_1
93,23/10/2024,RL1_S,3,A0110,B,1,5.5,23/4/2025,0,Acropora spp.,RL1_S_3
94,23/10/2024,RL1_S,3,A0110,D,1,2.4,23/4/2025,0,Acropora spp.,RL1_S_3
95,23/10/2024,RL1_S,3,A0112,D,1,2.5,23/4/2025,1,Acropora spp.,RL1_S_3
96,23/10/2024,RL1_S,3,A0112,E,1,2.8,23/4/2025,0,Acropora spp.,RL1_S_3
97,23/10/2024,RL1_S,3,A0113,B,1,2.8,23/4/2025,0,Acropora spp.,RL1_S_3
98,23/10/2024,RL1_S,3,A0113,C,1,8.4,23/4/2025,0,Acropora spp.,RL1_S_3
99,23/10/2024,RL1_S,3,A0113,D,1,6,23/4/2025,0,Acropora spp.,RL1_S_3
100,23/10/2024,RL1_S,3,A0113,F,1,9.6,23/4/2025,0,Acropora spp.,RL1_S_3
101,23/10/2024,RL1_S,3,A0113,G,1,9.5,23/4/2025,0,Acropora spp.,RL1_S_3
102,23/10/2024,RL1_S,3,A0114,E,1,3,23/4/2025,0,Acropora spp.,RL1_S_3
103,23/10/2024,RL1_S,3,A0114,H,1,4.5,23/4/2025,0,Acropora spp.,RL1_S_3
104,23/10/2024,RL1_S,3,A0121,B,1,3,23/4/2025,0,Acropora spp.,RL1_S_3
105,23/10/2024,RL1_S,3,A0121,C,1,5,23/4/2025,0,Acropora spp.,RL1_S_3
106,23/10/2024,RL1_S,3,A0122,A,1,4,23/4/2025,0,Acropora spp.,RL1_S_3
107,23/10/2024,RL1_S,3,A0122,B,1,8,23/4/2025,0,Acropora spp.,RL1_S_3
108,23/10/2024,RL1_S,3,A0124,C,1,7.5,23/4/2025,0,Acropora spp.,RL1_S_3
109,23/10/2024,RL1_S,3,A0124,D,1,4,23/4/2025,0,Acropora spp.,RL1_S_3
110,23/10/2024,RL1_S,3,A0124,F,1,7,23/4/2025,0,Acropora spp.,RL1_S_3
111,23/10/2024,RL1_S,3,A0124,G,1,7.5,23/4/2025,0,Acropora spp.,RL1_S_3
112,23/10/2024,RL1_S,3,A0125,C,1,7,23/4/2025,0,Acropora spp.,RL1_S_3
113,23/10/2024,RL1_S,3,A0127,D,1,7,23/4/2025,0,Acropora spp.,RL1_S_3
114,24/10/2024,RL1_S,3,A0128,E,1,4,23/4/2025,0,Acropora spp.,RL1_S_3
115,25/10/2024,RS1_1,1,A0011,A,1,5.5,20/4/2025,0,Acropora spp.,RS1_1_1
116,25/10/2024,RS1_1,1,A0017,A,1,2,20/4/2025,0,Acropora spp.,RS1_1_1
117,25/10/2024,RS1_1,1,A0017,B,1,1.2,20/4/2025,0,Acropora spp.,RS1_1_1
118,25/10/2024,RS1_1,1,A0020,A,1,5,20/4/2025,0,Acropora spp.,RS1_1_1
119,25/10/2024,RS1_1,1,A0020,B,1,5.2,20/4/2025,0,Acropora spp.,RS1_1_1
120,25/10/2024,RS1_1,2,A0001,B,1,6.8,20/4/2025,0,Acropora spp.,RS1_1_2
121,25/10/2024,RS1_1,2,A0001,C,1,7.2,20/4/2025,0,Acropora spp.,RS1_1_2
122,25/10/2024,RS1_1,2,A0178,A,1,5.2,20/4/2025,0,Acropora spp.,RS1_1_2
123,25/10/2024,RS1_1,2,A0178,G,1,7,20/4/2025,0,Acropora spp.,RS1_1_2
124,25/10/2024,RS1_1,2,A0181,A,1,5,20/4/2025,1,Acropora spp.,RS1_1_2
125,25/10/2024,RS1_1,2,A0182,D,1,3.8,20/4/2025,0,Acropora spp.,RS1_1_2
126,25/10/2024,RS1_1,2,A0182,E,1,7,20/4/2025,0,Acropora spp.,RS1_1_2
127,25/10/2024,RS1_1,between 1 and 2,A0006,K,1,8,20/4/2025,0,Acropora spp.,RS1_1_between 1 and 2
128,25/10/2024,RS1_1,between 1 and 2,A0006,L,1,6,20/4/2025,0,Acropora spp.,RS1_1_between 1 and 2
129,25/10/2024,RS1_1,between 1 and 2,A0007,G,1,9,20/4/2025,0,Acropora spp.,RS1_1_between 1 and 2
130,25/10/2024,RS1_1,between 1 and 2,A0009,A,1,5.8,20/4/2025,0,Acropora spp.,RS1_1_between 1 and 2
131,25/10/2024,RS1_1,between 1 and 2,A0009,C,1,4,20/4/2025,0,Acropora spp.,RS1_1_between 1 and 2
132,25/10/2024,RS1_1,between 1 and 2,A0009,E,1,4,20/4/2025,0,Acropora spp.,RS1_1_between 1 and 2
133,25/10/2024,RS1_1,between 1 and 2,A0009,F,1,5.2,20/4/2025,0,Acropora spp.,RS1_1_between 1 and 2
134,27/10/2024,RS1_S,2,A0138,B,1,6,25/4/2025,0,Acropora spp.,RS1_S_2
135,27/10/2024,RS1_S,2,A0138,C,1,8,25/4/2025,0,Acropora spp.,RS1_S_2
136,27/10/2024,RS1_S,2,A0139,K,1,5.5,25/4/2025,0,Acropora spp.,RS1_S_2
137,27/10/2024,RS1_S,2,A0150,D,1,8.6,25/4/2025,0,Acropora spp.,RS1_S_2
138,27/10/2024,RS1_S,2,A0152,A,1,9.8,25/4/2025,0,Acropora spp.,RS1_S_2
139,27/10/2024,RS1_S,2,A0153,A,1,4.8,25/4/2025,0,Acropora spp.,RS1_S_2
140,27/10/2024,RS1_S,2,A0153,B,1,6.6,25/4/2025,0,Acropora spp.,RS1_S_2
