,Date,Site,Plot,Quadrat,ID,Size_x,T1_Date,T1_Survival,Taxa_broad,Site_Plot
1,20/8/2023,1,1,1,8,2,20/8/2024,1,Acroporiidae,1_1
2,20/8/2023,1,1,1,10,2,20/8/2024,0,Acroporiidae,1_1
3,20/8/2023,1,1,1,11,7,20/8/2024,1,Acroporiidae,1_1
4,25/8/2023,1,1,3,1,2,20/8/2024,1,Acroporiidae,1_1
5,25/8/2023,1,1,3,5,1,20/8/2024,0,Acroporiidae,1_1
6,25/8/2023,1,1,3,8,0.5,20/8/2024,0,Acroporiidae,1_1
7,25/8/2023,1,1,3,9,2,20/8/2024,1,Acroporiidae,1_1
8,21/8/2023,1,2,1,1,5,20/8/2024,0,Acroporiidae,1_2
9,21/8/2023,1,2,1,2,3,20/8/2024,0,Acroporiidae,1_2
10,21/8/2023,1,2,1,3,3,20/8/2024,0,Acroporiidae,1_2
11,7/6/2023,1,3,1,1,3,20/8/2024,1,Acroporiidae,1_3
12,7/6/2023,1,3,1,2,1,20/8/2024,0,Acroporiidae,1_3
13,7/6/2023,1,3,2,2,4,20/8/2024,0,Acroporiidae,1_3
14,7/6/2023,1,3,2,5,5,20/8/2024,0,Acroporiidae,1_3
15,7/6/2023,1,3,2,6,3,20/8/2024,0,Acroporiidae,1_3
16,7/6/2023,1,3,2,7,2,20/8/2024,0,Acroporiidae,1_3
17,7/6/2023,1,3,2,8,2,20/8/2024,0,Acroporiidae,1_3
18,7/6/2023,1,3,2,10,2,20/8/2024,0,Acroporiidae,1_3
19,7/6/2023,1,3,3,1,3,20/8/2024,0,Acroporiidae,1_3
20,7/6/2023,1,3,3,2,2,20/8/2024,0,Acroporiidae,1_3
21,7/6/2023,1,3,3,3,7,20/8/2024,0,Acroporiidae,1_3
22,7/6/2023,1,3,3,4,5,20/8/2024,0,Acroporiidae,1_3
23,7/6/2023,1,3,3,5,2,20/8/2024,0,Acroporiidae,1_3
24,7/6/2023,1,3,3,6,5,20/8/2024,0,Acroporiidae,1_3
25,7/6/2023,1,3,3,10,3,20/8/2024,0,Acroporiidae,1_3
26,7/6/2023,1,3,3,11,4,20/8/2024,0,Acroporiidae,1_3
27,7/6/2023,1,3,4,1,2,20/8/2024,1,Acroporiidae,1_3
28,7/6/2023,1,3,4,2,1,20/8/2024,0,Acroporiidae,1_3
29,7/6/2023,1,3,4,3,2,20/8/2024,0,Acroporiidae,1_3
30,7/6/2023,1,3,4,4,3,20/8/2024,0,Acroporiidae,1_3
31,7/6/2023,1,3,4,5,2,20/8/2024,0,Acroporiidae,1_3
32,7/6/2023,1,3,4,6,3,20/8/2024,0,Acroporiidae,1_3
33,7/6/2023,1,3,4,8,2,20/8/2024,0,Acroporiidae,1_3
34,7/6/2023,1,3,4,9,3,20/8/2024,0,Acroporiidae,1_3
35,7/6/2023,1,3,4,10,4,20/8/2024,0,Acroporiidae,1_3
36,7/6/2023,1,3,4,11,1,20/8/2024,0,Acroporiidae,1_3
