ID,Site,Plot,Taxa,T1_Survival,year,Size_x,Disturbance,Site_Plot
1,SL1,1,Acropora spicifera,1,6 to 7,6.61,ND,SL1_1
10,SL1,1,Acropora spicifera,1,6 to 7,7.91,ND,SL1_1
13,SL1,1,Acropora spicifera,1,6 to 7,6.16,ND,SL1_1
57,SL1,1,Acropora spicifera,1,6 to 7,5.69,ND,SL1_1
63,SL1,1,Acropora spicifera,1,6 to 7,4.7,ND,SL1_1
64,SL1,1,Acropora spicifera,0,6 to 7,3.28,ND,SL1_1
75,SL1,1,Acropora spicifera,1,6 to 7,7.41,ND,SL1_1
89,SL1,1,Acropora spicifera,1,6 to 7,4.66,ND,SL1_1
93,SL1,1,Acropora spicifera,1,6 to 7,5.81,ND,SL1_1
94,SL1,1,Acropora spicifera,1,6 to 7,5.07,ND,SL1_1
102,SL1,1,Acropora spicifera,1,6 to 7,6.94,ND,SL1_1
104,SL1,1,Acropora spicifera,1,6 to 7,6.55,ND,SL1_1
107,SL1,1,Acropora spicifera,1,6 to 7,2.94,ND,SL1_1
373,SL1,1,Acropora spicifera,1,6 to 7,4.1,ND,SL1_1
424,SL1,1,Acropora spicifera,0,6 to 7,3.47,ND,SL1_1
425,SL1,1,Acropora spicifera,1,6 to 7,4.75,ND,SL1_1
426,SL1,1,Acropora spicifera,1,6 to 7,2.32,ND,SL1_1
493,SL1,1,Acropora spicifera,1,6 to 7,5.64,ND,SL1_1
496,SL1,1,Acropora spicifera,1,6 to 7,4.88,ND,SL1_1
497,SL1,1,Acropora spicifera,1,6 to 7,3.16,ND,SL1_1
499,SL1,1,Acropora spicifera,1,6 to 7,2.72,ND,SL1_1
500,SL1,1,Acropora spicifera,1,6 to 7,4.16,ND,SL1_1
503,SL1,1,Acropora spicifera,1,6 to 7,5.09,ND,SL1_1
504,SL1,1,Acropora spicifera,1,6 to 7,5.38,ND,SL1_1
593,SL1,1,Acropora spicifera,0,6 to 7,4,ND,SL1_1
594,SL1,1,Acropora spicifera,1,6 to 7,4.08,ND,SL1_1
595,SL1,1,Acropora spicifera,1,6 to 7,6.41,ND,SL1_1
596,SL1,1,Acropora spicifera,1,6 to 7,4.92,ND,SL1_1
597,SL1,1,Acropora spicifera,1,6 to 7,5.09,ND,SL1_1
623,SL1,1,Acropora spicifera,1,6 to 7,3.88,ND,SL1_1
634,SL1,1,Acropora spicifera,1,6 to 7,8.26,ND,SL1_1
636,SL1,1,Acropora spicifera,0,6 to 7,4.58,ND,SL1_1
637,SL1,1,Acropora spicifera,1,6 to 7,4.99,ND,SL1_1
651,SL1,1,Acropora spicifera,1,6 to 7,3.27,ND,SL1_1
653,SL1,1,Acropora spicifera,1,6 to 7,3.03,ND,SL1_1
900,SL1,2,Acropora spicifera,1,6 to 7,5.81,ND,SL1_2
901,SL1,2,Acropora spicifera,1,6 to 7,6.5,ND,SL1_2
910,SL1,2,Acropora spicifera,1,6 to 7,9.17,ND,SL1_2
911,SL1,2,Acropora spicifera,1,6 to 7,9.15,ND,SL1_2
912,SL1,2,Acropora spicifera,1,6 to 7,8.84,ND,SL1_2
921,SL1,2,Acropora spicifera,1,6 to 7,4.81,ND,SL1_2
929,SL1,2,Acropora spicifera,1,6 to 7,2.73,ND,SL1_2
934,SL1,2,Acropora spicifera,1,6 to 7,5.7,ND,SL1_2
1072,SL1,2,Acropora spicifera,1,6 to 7,4.95,ND,SL1_2
1076,SL1,2,Acropora spicifera,0,6 to 7,4.86,ND,SL1_2
1084,SL1,2,Acropora spicifera,1,6 to 7,6.95,ND,SL1_2
1088,SL1,2,Acropora spicifera,1,6 to 7,4.25,ND,SL1_2
